需求编号,需求描述,用例类型,导航,功能模块,功能点,优先级,用例标题,前置条件,操作步骤,预期结果,测试结果,执行人,测试环境,备注
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证工程管理经理是否可查看同步按钮,"1.系统运行正常
2.使用工程管理经理角色登陆环境",1.进入物资申领单列表页面,1.工程管理经理角色的用户可看到同步按钮，并正常同步物资申领单状态,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证工程实施经理（主）/工程实施经理是否可查看同步按钮,"1.系统运行正常
2.使用工程实施经理角色登陆环境",1.进入物资申领单列表页面,1.工程实施经理角色的用户可看到同步按钮，并正常同步物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证任务经理是否可查看同步按钮,"1.系统运行正常
2.使用任务经理角色登陆环境",1.进入物资申领单列表页面,1.任务经理角色的用户可看到同步按钮，并正常同步物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证物资管理员是否可查看同步按钮,"1.系统运行正常
2.使用物资管理员角色登陆环境",1.进入物资申领单列表页面,1.物资管理员角色的用户可看到同步按钮，并正常同步物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证施工单位负责人是否可查看同步按钮,"1.系统运行正常
2.使用施工单位负责人角色登陆环境",1.进入物资申领单列表页面,1.施工单位负责人角色的用户可看到同步按钮，并正常同步物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证仓库物资管理员是否可查看同步按钮,"1.系统运行正常
2.使用仓库物资管理员角色登陆环境",1.进入物资申领单列表页面,1.仓库物资管理员角色的用户可看到同步按钮，并正常同步物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证施工专业负责人是否可查看同步按钮,"1.系统运行正常
2.使用施工专业负责人角色登陆环境",1.进入物资申领单列表页面,1.施工专业负责人角色的用户可看到同步按钮，并正常同步物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证施工队长是否可查看同步按钮,"1.系统运行正常
2.使用施工队长角色登陆环境",1.进入物资申领单列表页面,1.施工队长角色的用户可看到同步按钮，并正常同步物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证领料员是否可查看同步按钮,"1.系统运行正常
2.使用领料员角色登陆环境",1.进入物资申领单列表页面,1.领料员角色的用户可看到同步按钮，并正常同步物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证物资接收员是否可查看同步按钮,"1.系统运行正常
2.使用物资接收员角色登陆环境",1.进入物资申领单列表页面,1.物资接收员角色的用户可看到同步按钮，并正常同步物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证监理工程师是否可查看同步按钮,"1.系统运行正常
2.使用监理工程师角色登陆环境",1.进入物资申领单列表页面,1.监理工程师角色的用户能看到同步按钮，能同步物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证全国权限的用户是否可查看同步按钮,"1.系统运行正常
2.使用全国权限角色登陆环境",1.进入物资申领单列表页面,1.全国权限的用户可看到同步按钮,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证省公司（本部+地市）权限的用户是否可查看同步按钮,"1.系统运行正常
2.使用省公司（本部+地市）权限角色登陆环境",1.进入物资申领单列表页面,1.省公司（本部+地市）权限的用户可看到同步按钮,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证省本部权限的用户是否可查看同步按钮,"1.系统运行正常
2.使用省本部权限角色登陆环境",1.进入物资申领单列表页面,1.省本部权限的用户可看到同步按钮,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,同步按钮显示,L2,验证地市权限的用户是否可查看同步按钮,"1.系统运行正常
2.使用地市公司权限角色登陆环境",1.进入物资申领单列表页面,1.地市公司权限角色的用户可看到同步按钮,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,提交按钮显示,L2,验证单据审批人是否正常看到提交按钮,"1.系统运行正常
2.单据审批人登陆系统",1.进入物资申领单待办审批页面,1.正常查看到提交按钮，正常提交单据,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,提交按钮显示,L2,验证非单据审批人是否正常看到提交按钮,"1.系统运行正常
2.非单据审批人登陆系统",1.进入物资申领单待办审批页面（通过链接）,1.不能看到提交按钮，无法提交单据,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,作废按钮显示,L2,验证单据起草人是否正常看到作废按钮,"1.系统运行正常
2.单据起草人登陆系统",1.进入物资申领单待办审批页面,1.正常查看到作废按钮，正常作废单据,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,作废按钮显示,L2,验证非单据起草人是否正常看到作废按钮,"1.系统运行正常
2.非单据起草人登陆系统",1.进入物资申领单待办审批页面（通过链接）,1.不能看到作废按钮，无法作废单据,通过,冯云梦,MSIT,
9216,"【背景】：目前APP与PC端业务功能存在差异。
【需求】：APP与PC端共有业务功能拉齐。
【方案概述】：1、安装单选择任务逻辑与PC端拉齐，按照安装单配置项进行控制。",功能,现场管理APP-安装单,安装单,根据功能配置，限制安装单选择任务,L2,验证是否能选择“任务终止”状态的任务,1.系统运行正常,"1.点击新增安装单，点击选择任务终止的任务（功能配置中限定了不允许选择任务终止状态的任务）
2.点击新增安装单，点击选择任务终止的任务（功能配置中限定了允许选择任务终止状态的任务）
3.点击新增安装单，点击选择任务终止的任务（功能配置中限定了不允许选择任务终止状态的任务，但任务存在于【任务白名单】中）","1.弹出拦截提示：“任务：xx状态为xx，不允许下一步操作，请重新选择其他任务操作”
2.正常选择任务
3.正常选择任务",通过,冯云梦,MSIT,
9216,,功能,现场管理APP-安装单,安装单,根据功能配置，限制安装单选择任务,L2,验证是否能选择“完工”状态的任务,1.系统运行正常,"1.点击新增安装单，点击选择完工的任务（功能配置中限定了不允许选择完工状态的任务）
2.点击新增安装单，点击选择完工的任务（功能配置中限定了允许选择完工状态的任务）
3.点击新增安装单，点击选择完工的任务（功能配置中限定了不允许选择完工状态的任务，但任务存在于【任务白名单】中）","1.弹出拦截提示：“任务：xx状态为xx，不允许下一步操作，请重新选择其他任务操作”
2.正常选择任务
3.正常选择任务",通过,冯云梦,MSIT,
9216,,功能,现场管理APP-安装单,安装单,根据功能配置，限制安装单选择任务,L2,验证是否能选择“上线交维”状态的任务,1.系统运行正常,"1.点击新增安装单，点击选择上线交维的任务（功能配置中限定了不允许选择上线交维状态的任务）
2.点击新增安装单，点击选择上线交维的任务（功能配置中限定了允许选择上线交维状态的任务）
3.点击新增安装单，点击选择上线交维的任务（功能配置中限定了不允许选择上线交维状态的任务，但任务存在于【任务白名单】中）","1.弹出拦截提示：“任务：xx状态为xx，不允许下一步操作，请重新选择其他任务操作”
2.正常选择任务
3.正常选择任务",通过,冯云梦,MSIT,
9216,,功能,现场管理APP-安装单,安装单,根据功能配置，限制安装单选择任务,L2,验证是否能选择“验收批复”状态的任务,1.系统运行正常,"1.点击新增安装单，点击选择验收批复的任务（功能配置中限定了不允许选择验收批复状态的任务）
2.点击新增安装单，点击选择验收批复的任务（功能配置中限定了允许选择验收批复状态的任务）
3.点击新增安装单，点击选择验收批复的任务（功能配置中限定了不允许选择验收批复状态的任务，但任务存在于【任务白名单】中）","1.弹出拦截提示：“任务：xx状态为xx，不允许下一步操作，请重新选择其他任务操作”
2.正常选择任务
3.正常选择任务",通过,冯云梦,MSIT,
9216,,功能,现场管理APP-安装单,安装单,根据功能配置，限制安装单选择任务,L2,验证是否能选择“结算审计”状态的任务,1.系统运行正常,"1.点击新增安装单，点击选择结算审计的任务（功能配置中限定了不允许选择结算审计状态的任务）
2.点击新增安装单，点击选择结算审计的任务（功能配置中限定了允许选择结算审计状态的任务）
3.点击新增安装单，点击选择结算审计的任务（功能配置中限定了不允许选择结算审计状态的任务，但任务存在于【任务白名单】中）","1.弹出拦截提示：“任务：xx状态为xx，不允许下一步操作，请重新选择其他任务操作”
2.正常选择任务
3.正常选择任务",通过,冯云梦,MSIT,
9216,,功能,现场管理APP-安装单,安装单,根据功能配置，限制安装单选择任务,L2,验证是否能选择“已归档”状态的任务,1.系统运行正常,"1.点击新增安装单，点击选择已归档的任务（功能配置中限定了不允许选择已归档状态的任务）
2.点击新增安装单，点击选择已归档的任务（功能配置中限定了允许选择已归档状态的任务）
3.点击新增安装单，点击选择已归档的任务（功能配置中限定了不允许选择已归档状态的任务，但任务存在于【任务白名单】中）","1.弹出拦截提示：“任务：xx状态为xx，不允许下一步操作，请重新选择其他任务操作”
2.正常选择任务
3.正常选择任务",通过,冯云梦,MSIT,
9305,"【背景】在项目验收时，发现存在超设计领用、未领用工程物资、未填写工程物资使用量、存在余料未退库，或存在在途领、退库工单等业务。项目终验前，项目存在支出超立项、超设计批复，存在未转资、或在途转资的项目。 
【需求】 1、终验工单中工程物资的强控。项目终验时，项目中存在超设计领用、未领用工程物资、未填写工程物资使用量、存在余料未退库，或存在在途领、退库工单不得完成终验。
2、终验工单中项目支出的强控。项目终验前，项目存在支出超立项、超设计批复，存在未转资、或在途转资的，不得完成终验。---系统已满足",功能,物资管理-PMS领料申请单,PMS领料申请单,在途单据校验,L2,验证不存在在途的PMS领料申请单时，是否可进行竣工验收,"1.系统运行正常
2.领料模式为PMS模式","1.当前项目任务不存在任何PMS领料申请单
2.当前项目任务不存在在途的PMS领料申请单（审批完成且SCM审批完成","1.正常进行竣工验收
2.正常进行竣工验收",通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS领料申请单,PMS领料申请单,在途单据校验,L2,验证存在在途的PMS领料申请单时，是否可进行竣工验收,"1.系统运行正常
2.领料模式为PMS模式","1.当前项目任务的PMS领料申请单导入状态不为【导入SCM成功】，SCM状态为空，PMS状态不为【作废】
2.当前项目任务的PMS领料申请单导入状态为【导入SCM成功】，但SCM状态为【SCM草稿】/【SCM审批中】/【SCM驳回】","1.竣工验收启用配置后，弹出拦截提示：【项目+任务，存在在途PMS领料申请单】，不允许进行竣工验收；若不启用配置，则不校验
2.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途PMS领料申请单】，不允许进行竣工验收；若不启用配置，则不校验",通过,冯云梦,MSIT,
9305,,功能,物资管理-物资申领单,物资申领单,在途单据校验,L2,验证不存在在途的物资申领单时，是否可进行竣工验收,"1.系统运行正常
2.领料模式为PMS模式","1.当前项目任务不存在任何物资申领单
2.当前项目任务不存在在途的物资申领单","1.正常进行竣工验收
2.正常进行竣工验收",通过,冯云梦,MSIT,
9305,,功能,物资管理-物资申领单,物资申领单,在途单据校验,L2,验证存在在途的物资申领单时，是否可进行竣工验收,"1.系统运行正常
2.领料模式为PMS模式","1.当前项目任务的物资申领单导入状态不为【导入SCM成功】，SCM状态为空，PMS状态不为【作废】
2.当前项目任务的物资申领单导入状态为【导入SCM成功】，但SCM状态为【SCM草稿】/【SCM审批中】/【SCM驳回】","1.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途物资申领单】，不允许进行竣工验收；若不启用配置，则不校验
2.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途物资申领单】，不允许进行竣工验收；若不启用配置，则不校验",通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,在途单据校验,L2,验证不存在在途的PMS调拨申请单时，是否可进行竣工验收,"1.系统运行正常
2.调拨模式为PMS模式","1.当前项目任务不存在任何PMS调拨申请单
2.当前项目任务不存在在途的PMS调拨申请单","1.正常进行竣工验收
2.正常进行竣工验收",通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,在途单据校验,L2,验证存在在途的PMS调拨申请单时，是否可进行竣工验收,"1.系统运行正常
2.调拨模式为PMS模式","1.当前项目任务的PMS调拨申请单导入状态不为【导入SCM成功】，SCM状态为空，PMS状态不为【作废】
2.当前项目任务的PMS调拨申请单导入状态为【导入SCM成功】，但SCM状态为【SCM草稿】/【SCM审批中】/【SCM驳回】","1.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途PMS调拨申请单】，不允许进行竣工验收；若不启用配置，则不校验
2.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途PMS调拨申请单】，不允许进行竣工验收；若不启用配置，则不校验",通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS项目调拨单（多对多）,PMS项目调拨单（多对多）,在途单据校验,L2,验证不存在在途的PMS项目调拨单（多对多）时，是否可进行竣工验收,"1.系统运行正常
2.调拨模式为PMS模式","1.当前项目任务不存在任何PMS项目调拨单（多对多）
2.当前项目任务不存在在途的PMS项目调拨单（多对多）","1.正常进行竣工验收
2.正常进行竣工验收",通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS项目调拨单（多对多）,PMS项目调拨单（多对多）,在途单据校验,L2,验证存在在途的PMS项目调拨单（多对多）时，是否可进行竣工验收,"1.系统运行正常
2.调拨模式为PMS模式","1.当前项目任务的PMS项目调拨单（多对多）导入状态不为【导入SCM成功】，SCM状态为空，PMS状态不为【作废】
2.当前项目任务的PMS项目调拨单（多对多）导入状态为【导入SCM成功】，但SCM状态为【SCM草稿】/【SCM审批中】/【SCM驳回】","1.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途PMS调拨单（多对多）】，不允许进行竣工验收；若不启用配置，则不校验
2.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途PMS调拨单（多对多）】，不允许进行竣工验收；若不启用配置，则不校验",通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS退料申请单,PMS退料申请单,在途单据校验,L2,验证不存在在途的PMS退料申请单时，是否可进行竣工验收,"1.系统运行正常
2.退料模式为PMS模式","1.当前项目任务不存在任何PMS退料申请单
2.当前项目任务不存在在途的PMS退料申请单","1.正常进行竣工验收
2.正常进行竣工验收",通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS退料申请单,PMS退料申请单,在途单据校验,L2,验证存在在途的PMS退料申请单时，是否可进行竣工验收,"1.系统运行正常
2.退料模式为PMS模式","1.当前项目任务的PMS退料申请单导入状态不为【导入SCM成功】，SCM状态为空，PMS状态不为【作废】
2.当前项目任务的PMS退料申请单导入状态为【导入SCM成功】，但SCM状态为【SCM草稿】/【SCM审批中】/【SCM驳回】","1.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途PMS退料申请单】，不允许进行竣工验收；若不启用配置，则不校验
2.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途PMS退料申请单】，不允许进行竣工验收；若不启用配置，则不校验",通过,冯云梦,MSIT,
9305,,功能,物资管理-SCM领料申请单,SCM领料申请单,在途单据校验,L2,验证不存在在途的SCM领料申请单时，是否可进行竣工验收,"1.系统运行正常
2.领料模式为SCM模式","1.当前项目任务不存在任何SCM领料申请单
2.当前项目任务不存在在途的SCM领料申请单（SCM状态为【SCM作废】/【SCM审批完成】）","1.正常进行竣工验收
2.正常进行竣工验收",通过,冯云梦,MSIT,
9305,,功能,物资管理-SCM领料申请单,SCM领料申请单,在途单据校验,L2,验证存在在途的SCM领料申请单时，是否可进行竣工验收,"1.系统运行正常
2.领料模式为SCM模式",1.当前项目任务的SCM领料申请单单据状态为【SCM草稿】/【SCM审批中】/【SCM驳回】,1.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途SCM领料申请单】，不允许进行竣工验收；若不启用配置，则不校验,通过,冯云梦,MSIT,
9305,,功能,物资管理-SCM调拨申请单,SCM调拨申请单,在途单据校验,L2,验证不存在在途的SCM调拨申请单时，是否可进行竣工验收,"1.系统运行正常
2.调拨模式为SCM模式","1.当前项目任务不存在任何SCM调拨申请单
2.当前项目任务不存在在途的SCM调拨申请单（SCM状态为【SCM作废】/【SCM审批完成】）","1.正常进行竣工验收
2.正常进行竣工验收",通过,冯云梦,MSIT,
9305,,功能,物资管理-SCM调拨申请单,SCM调拨申请单,在途单据校验,L2,验证存在在途的SCM调拨申请单时，是否可进行竣工验收,"1.系统运行正常
2.调拨模式为SCM模式",1.当前项目任务的SCM调拨申请单单据状态为【SCM草稿】/【SCM审批中】/【SCM驳回】,1.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途SCM调拨申请单】，不允许进行竣工验收；若不启用配置，则不校验,通过,冯云梦,MSIT,
9305,,功能,物资管理-SCM退料申请单,SCM退料申请单,在途单据校验,L2,验证不存在在途的SCM退料申请单时，是否可进行竣工验收,"1.系统运行正常
2.退料模式为SCM模式","1.当前项目任务不存在任何SCM退料申请单
2.当前项目任务不存在在途的SCM退料申请单（SCM状态为【SCM作废】/【SCM审批完成】）","1.正常进行竣工验收
2.正常进行竣工验收",通过,冯云梦,MSIT,
9305,,功能,物资管理-SCM退料申请单,SCM退料申请单,在途单据校验,L2,验证存在在途的SCM退料申请单时，是否可进行竣工验收,"1.系统运行正常
2.退料模式为SCM模式",1.当前项目任务的SCM退料申请单单据状态为【SCM草稿】/【SCM审批中】/【SCM驳回】,1.竣工验收启用配置后，弹出拦截提示【项目+任务，存在在途SCM退料申请单】，不允许进行竣工验收；若不启用配置，则不校验,通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS领料申请单/物资管理-物资申领单,PMS领料申请单/物资申领单,超设计出库校验,L2,验证查询设计量,"1.系统运行正常
2.领料模式为PMS模式
3.设计产品维度",1.查询对应项目任务的设计量,1.查询出对应项目任务的设计物资清单，获取设计产品的设计量数据,通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS领料申请单/物资管理-物资申领单,PMS领料申请单/物资申领单,超设计出库校验,L2,验证查询实际出库量,"1.系统运行正常
2.领料模式为PMS模式
3.设计产品维度",1.查询对应项目任务下，设计产品的出库数量（领料+调拨+直发）-退库（退料+调出）数量,1.获取到对应项目任务下，对应的设计产品实际出库量,通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS领料申请单/物资管理-物资申领单,PMS领料申请单/物资申领单,超设计出库校验,L2,验证比对设计量与实际出库量的大小,"1.系统运行正常
2.领料模式为PMS模式
3.设计产品维度",1.比对设计量与实际出库量,1.若设计量大于等于实际出库量，则正常进行竣工验收；若设计量小于实际出库量，则弹出拦截提示【项目+任务，存在实际出库量大于设计量的设计产品】，不允许进行竣工验收,通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS领料申请单/物资管理-物资申领单,PMS领料申请单/物资申领单,超设计出库校验,L2,验证出库单匹配的设计产品不在设计物资清单中时，是否允许进行竣工验收,"1.系统运行正常
2.领料模式为PMS模式
3.设计产品维度",1.存在出库单匹配的设计产品不在设计物资清单中（甲供乙供利旧）,1.弹出拦截提示【项目+任务，存在实际出库量大于设计量的设计产品】，不允许进行竣工验收,通过,冯云梦,MSIT,
9305,,功能,物资管理-PMS领料申请单/物资管理-物资申领单,PMS领料申请单/物资申领单,超设计出库校验,L2,验证出库单未匹配设计产品时，是否允许进行竣工验收,"1.系统运行正常
2.领料模式为PMS模式
3.设计产品维度",1.存在出库单未匹配设计产品,1.弹出拦截提示【项目+任务，存在实际出库量大于设计量的设计产品】，不允许进行竣工验收,通过,冯云梦,MSIT,
9305,,功能,物资管理-物资申领单,物资申领单,超设计出库校验,L2,验证查询设计量,"1.系统运行正常
2.领料模式为PMS模式
3.物料维度",1.查询对应项目任务的设计量,1.查询出对应项目任务的设计物资清单，获取设物料的设计量数据,通过,冯云梦,MSIT,
9305,,功能,物资管理-物资申领单,物资申领单,超设计出库校验,L2,验证查询实际出库量,"1.系统运行正常
2.领料模式为PMS模式
3.物料维度",1.查询对应项目任务下，物料的出库数量（领料+调拨+直发）-退库（退料+调出）数量,1.获取到对应项目任务下，对应的物料实际出库量,通过,冯云梦,MSIT,
9305,,功能,物资管理-物资申领单,物资申领单,超设计出库校验,L2,验证比对设计量与实际出库量的大小,"1.系统运行正常
2.领料模式为PMS模式
3.物料维度",1.比对设计量与实际出库量,1.若设计量大于等于实际出库量，则正常进行竣工验收；若设计量小于实际出库量，则弹出拦截提示【项目+任务，存在实际出库量大于设计量的设计产品】，不允许进行竣工验收,通过,冯云梦,MSIT,
9305,,功能,物资管理-物资申领单,物资申领单,超设计出库校验,L2,验证出库单中的物料编码不在设计物资清单中时，是否允许进行竣工验收,"1.系统运行正常
2.领料模式为PMS模式
3.物料维度",1.存在出库单中的物料编码不在设计物资清单中,1.弹出拦截提示【项目+任务，存在实际出库量大于设计量的设计产品】，不允许进行竣工验收,通过,冯云梦,MSIT,
9305,,功能,物资管理-SCM领料申请单,SCM领料申请单,超设计出库校验,L2,验证SCM模式下/项目领料配置为空是否允许进行竣工验收,"1.系统运行正常
2.领料模式为SCM模式",1.SCM模式下/项目领料配置为空时是否允许进行竣工验收,1.正常竣工验收，不校验超设计出库,通过,冯云梦,MSIT,
9305,,功能,物资管理-单任务物资平衡表,单任务物资平衡表（设计产品）,已领用未填写单站校验,L2,验证不存在出库单，且也不存在审批完成的单任务物资平衡表时，是否允许进行竣工验收,"1.系统运行正常
2.使用量为单任务物资平衡表
3.设计产品维度","1.项目任务不存在出库单，不存在任何单任务物资平衡表
2.项目任务不存在出库单，单任务物资平衡表状态为【草稿】/【审批中】/【撤销中】/【撤销完成】/【作废】","1.弹出拦截提示【项目+任务，存在未填写/未审批通过的单任务物资平衡表】，不允许进行竣工验收
2.弹出拦截提示【项目+任务，存在未填写/未审批通过的单任务物资平衡表】，不允许进行竣工验收",通过,冯云梦,MSIT,
9305,,功能,物资管理-单任务物资平衡表,单任务物资平衡表（设计产品）,已领用未填写单站校验,L2,验证存在出库单，且不存在审批完成的单任务物资平衡表时，是否允许进行竣工验收,"1.系统运行正常
2.使用量为单任务物资平衡表
3.设计产品维度
4.单派工",1.项目任务存在出库单，单任务物资平衡表状态为【草稿】/【审批中】/【撤销中】/【撤销完成】/【作废】,1.弹出拦截提示【项目+任务，存在未填写/未审批通过的单任务物资平衡表】，不允许进行竣工验收,通过,冯云梦,MSIT,
9305,,功能,物资管理-单任务物资平衡表,单任务物资平衡表（设计产品）,已领用未填写单站校验,L2,验证存在出库单，存在审批完成的单任务物资平衡表时，是否允许进行竣工验收,"1.系统运行正常
2.使用量为单任务物资平衡表
3.设计产品维度
4.单派工",1.项目任务存在出库单，单任务物资平衡表状态为【审批完成】,1.正常进行竣工验收，不校验已领用未填写单站,通过,冯云梦,MSIT,
