需求编号,需求描述,用例类型,导航,功能模块,功能点,优先级,用例标题,前置条件,操作步骤,预期结果,测试结果,执行人,测试环境,备注
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,查看驳回页面流程历史,L2,验证查看驳回页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入驳回页面，查看流程历史数据,2.正常展示对应的流程历史数据,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,查看详情页面流程历史,L2,验证查看详情页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入详情页面，查看流程历史数据,2.正常展示对应的流程历史数据,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,本次调拨数量填写全为0，弹出提示,L2,验证调拨单拦截提示,"1.系统运行正常
2.使用工程实施经理等角色登陆系统
3.本次调拨数量填写全为0",1.新增/编辑调拨申请单，点击保存/提交,提示：“本次调拨数量填写错误，请检查后重新填写！”,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,调拨数量超过可调入数量，弹出提示,L2,验证调拨单拦截提示,"1.系统运行正常
2.使用工程实施经理等角色登陆系统
3.调拨数量超过可调入数量",1.新增/编辑调拨申请单，点击保存/提交,提示：“本次调拨数量超过可调入数量，可调入数量XXX,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,本次调拨数量超过可调拨数量，弹出提示,L2,验证调拨单拦截提示,"1.系统运行正常
2.使用工程实施经理等角色登陆系统
3.本次调拨数量超过可调拨数量",1.新增/编辑调拨申请单，点击保存/提交,提示：“本次调拨数量超过可调拨数量，可调拨数量XXX,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,修改调拨单路由,L3,验证调拨单路由,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.查看调拨单路由,多对多调拨：\pmsTransMtm\,,冯云梦,UAT,
技术优化6,,功能,MOA-PMS调拨申请单,PMS调拨申请单,保存单据时，扣减台账库存,L2,验证保存单据时，扣减库存台账,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击保存按钮，查看对应的台账数据,1.正常扣减对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,MOA-PMS调拨申请单,PMS调拨申请单,提交单据时，扣减台账库存,L2,验证提交单据时，扣减台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击提交按钮，查看对应的台账数据,1.正常扣减对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,MOA-PMS调拨申请单,PMS调拨申请单,删除单据时，还原台账库存,L2,验证删除单据时，还原台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击删除单据，查看对应的台账数据,1.正常还原对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,MOA-PMS调拨申请单,PMS调拨申请单,PMS作废单据时，还原台账库存,L2,验证PMS作废单据时，还原台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击作废单据，查看对应的台账数据,1.正常还原对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,MOA-PMS调拨申请单,PMS调拨申请单,SCM作废单据时，还原台账库存,L2,验证SCM作废单据时，还原台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.同步SCM作废的单据，查看对应的台账,1.正常还原对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,MOA-PMS调拨申请单,PMS调拨申请单,查看待办页面流程历史,L2,验证查看待办页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入待办页面，查看流程历史数据,1.正常展示对应的流程历史数据,,冯云梦,UAT,
技术优化6,,功能,MOA-PMS调拨申请单,PMS调拨申请单,查看已办页面流程历史,L2,验证查看已办页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入已办页面，查看流程历史数据,1.正常展示对应的流程历史数据,,冯云梦,UAT,
技术优化6,,功能,MOA-PMS调拨申请单,PMS调拨申请单,查看驳回页面流程历史,L2,验证查看驳回页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入驳回页面，查看流程历史数据,2.正常展示对应的流程历史数据,,冯云梦,UAT,
技术优化6,,功能,MOA-PMS调拨申请单,PMS调拨申请单,查看详情页面流程历史,L2,验证查看详情页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入详情页面，查看流程历史数据,2.正常展示对应的流程历史数据,,冯云梦,UAT,
9169,"【需求背景】：总部工管处预计于6月下发最新合作单位管理要求，并建立全集团合作单位信息库，其中涉及PMS外部人员角色的统一规范，根据总部要求调整角色名称
【需求描述】：将“仓库物资管理员”、“领料员”、“物资接收员”整合为“物料管理员”，并进行权限合并
【方案描述】：
1、将外部角色“仓库物资管理员”角色名称改为“物料管理员”；将“领料员”、“物资接收员”的人员分配“物料管理员”权限。（继续使用仓库物资管理员的角色编码，建议由合作单位调整并分发至物资）
2、将涉及“领料员”、“物资接收员”角色的功能增加“物料管理员”权限；
3、二级菜单图标
注：测试参考：PMS-物资管理
物资菜单角色权限sheet页，LMN列
和合作单位确认都在3.4一起优化",功能,物资管理-PMS领料申请单,PMS领料申请单,物料管理员查询、导出，同步PMS领料申请单,L3,验证物料管理员查询、导出，同步PMS领料申请单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询PMS领料申请单
2.点击重置查询条件
3.点击导出按钮
4.点击同步PMS领料申请单","1.正常查询出符合查询条件的PMS领料申请单
2.正常清空查询条件，并查询出所有的PMS领料申请单数据
3.正常导出符合查询条件的PMS领料申请单数据
4.正常同步所选的项目下的领料单",,冯云梦,UAT,
9169,,功能,物资管理-PMS领料申请单,PMS领料申请单-新增,物料管理员新增PMS领料申请单,L2,验证物料管理员新增PMS领料申请单,"1.系统运行正常
2.使用物料管理员角色登陆系统",1.点击新增PMS领料申请单,1.正常新增PMS领料申请单,,冯云梦,UAT,
9169,,功能,物资管理-领料申请明细查询（设计产品）,领料申请明细查询（设计产品）,物料管理员查询、导出领料申请明细查询（设计产品）,L3,验证物料管理员查询、导出领料申请明细查询（设计产品）,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询领料申请明细查询数据
2.点击重置查询条件
3.点击导出","1.正常查询出符合查询条件的领料申请明细数据
2.正常清空查询条件，并查询出所有的PMS领料申请单明细数据
3.正常导出符合查询条件的领料申请明细数据",,冯云梦,UAT,
9169,,功能,物资管理-领料申请明细查询（物料）,领料申请明细查询（物料）,物料管理员查询、导出领料申请明细查询（物料）,L3,验证物料管理员查询、导出领料申请明细查询（物料）,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询领料申请明细查询数据
2.点击重置查询条件
3.点击导出","1.正常查询出符合查询条件的领料申请明细数据
2.正常清空查询条件，并查询出所有的PMS领料申请单明细数据
3.正常导出符合查询条件的领料申请明细数据",,冯云梦,UAT,
9169,,功能,物资管理-物资申领单,物资申领单,物料管理员查询、导出，同步物资申领单,L3,验证物料管理员查询、导出，同步物资申领单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询物资申领单
2.点击重置查询条件
3.点击导出按钮
4.点击同步物资申领单","1.正常查询出符合查询条件的物资申领单
2.正常清空查询条件，并查询出所有的物资申领单数据
3.正常导出符合查询条件的物资申领单数据
4.正常同步所选的项目下的物资申领单",,冯云梦,UAT,
9169,,功能,物资管理-物资申领单,物资申领单-新增,物料管理员新增物资申领单,L2,验证物料管理员新增物资申领单,"1.系统运行正常
2.使用物料管理员角色登陆系统",1.点击新增物资申领单,1.正常新增物资申领单,,冯云梦,UAT,
9169,,功能,物资管理-SCM领料申请单,SCM领料申请单,物料管理员查询、导出，同步SCM领料申请单,L3,验证物料管理员查询、导出，同步SCM领料申请单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询SCM领料申请单
2.点击重置查询条件
3.点击导出按钮
4.点击同步SCM领料申请单","1.正常查询出符合查询条件的SCM领料申请单
2.正常清空查询条件，并查询出所有的SCM领料申请单数据
3.正常导出符合查询条件的SCM领料申请单数据
4.正常同步所选的项目下的领料单",,冯云梦,UAT,
9169,,功能,物资管理-SCM出库单,SCM出库单,物料管理员查询、导出，同步SCM出库单,L3,验证物料管理员查询、导出，同步SCM出库单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询SCM出库单
2.点击重置查询条件
3.点击导出按钮
4.点击同步SCM出库单","1.正常查询出符合查询条件的SCM出库单
2.正常清空查询条件，并查询出所有的SCM出库单数据
3.正常导出符合查询条件的SCM出库单数据
4.正常同步所选的项目下的出库单",,冯云梦,UAT,
9169,,功能,物资管理-SCM出库单明细查询,SCM出库单明细查询,物料管理员查询、导出，同步SCM出库单明细查询,L3,验证物料管理员查询、导出，同步SCM出库单明细查询,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询SCM出库单明细
2.点击重置查询条件
3.点击导出按钮
4.点击同步SCM出库单明细","1.正常查询出符合查询条件的SCM出库单明细
2.正常清空查询条件，并查询出所有的SCM出库单明细数据
3.正常导出符合查询条件的SCM出库单明细数据
4.正常同步所选的项目下的出库单",,冯云梦,UAT,
9169,,功能,物资管理-物资接收指派,物资接收指派,物料管理员查询、导出物资接收单,L3,验证物料管理员查询、导出物资接收单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询物资接收单数据
2.点击重置查询条件
3.点击导出","1.正常查询出符合查询条件的物资接收单数据
2.正常清空查询条件，并查询出所有的物资接收单数据
3.正常导出符合查询条件的物资接收单数据",,冯云梦,UAT,
9169,,功能,物资管理-物资接收单查询,物资接收单查询,物料管理员查询、导出物资接收单,L3,验证物料管理员查询、导出物资接收单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询物资接收单数据
2.点击重置查询条件
3.点击导出","1.正常查询出符合查询条件的物资接收单数据
2.正常清空查询条件，并查询出所有的物资接收单数据
3.正常导出符合查询条件的物资接收单数据",,冯云梦,UAT,
9169,,功能,物资管理-物资接收入库单,物资接收入库单（到货签收）,物料管理员查询、导出，审批物资接收入库单,L3,验证物料管理员查询、导出物资接收入库单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询物资接收入库单数据
2.点击重置查询条件
3.点击导出
4.点击处理物资接收入库单待办","1.正常查询出符合查询条件的物资接收入库单数据
2.正常清空查询条件，并查询出所有的物资接收入库单数据
3.正常导出符合查询条件的物资接收入库单数据
4.正常处理物资接收入库单待办",,冯云梦,UAT,
9169,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,物料管理员查询、导出，同步PMS调拨申请单,L3,验证物料管理员查询、导出，同步PMS调拨申请单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询PMS调拨申请单
2.点击重置查询条件
3.点击导出按钮
4.点击同步PMS调拨申请单","1.正常查询出符合查询条件的PMS调拨申请单
2.正常清空查询条件，并查询出所有的PMS调拨申请单数据
3.正常导出符合查询条件的PMS调拨申请单数据
4.正常同步所选的项目下的PMS调拨申请单",,冯云梦,UAT,
9169,,功能,物资管理-PMS调拨申请单,PMS调拨申请单-新增,物料管理员新增PMS调拨申请单,L2,验证物料管理员新增PMS调拨申请单,"1.系统运行正常
2.使用物料管理员角色登陆系统",1.点击新增PMS调拨申请单,1.正常新增PMS调拨申请单,,冯云梦,UAT,
9169,,功能,物资管理-SCM调拨申请单,SCM调拨申请单,物料管理员查询、导出，同步SCM调拨申请单,L3,验证物料管理员查询、导出，同步SCM调拨申请单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询SCM调拨申请单
2.点击重置查询条件
3.点击导出按钮
4.点击同步SCM调拨申请单","1.正常查询出符合查询条件的SCM调拨申请单
2.正常清空查询条件，并查询出所有的SCM调拨申请单数据
3.正常导出符合查询条件的SCM调拨申请单数据
4.正常同步所选的项目下的SCM调拨申请单",,冯云梦,UAT,
9169,,功能,物资管理-PMS退料申请单,PMS退料申请单,物料管理员查询、导出，同步PMS退料申请单,L3,验证物料管理员查询、导出，同步PMS退料申请单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询PMS退料申请单
2.点击重置查询条件
3.点击导出按钮
4.点击同步PMS退料申请单","1.正常查询出符合查询条件的PMS退料申请单
2.正常清空查询条件，并查询出所有的PMS退料申请单数据
3.正常导出符合查询条件的PMS退料申请单数据
4.正常同步所选的项目下的PMS退料申请单",,冯云梦,UAT,
9169,,功能,物资管理-PMS退料申请单,PMS退料申请单-新增,物料管理员新增PMS退料申请单,L2,验证物料管理员新增PMS退料申请单,"1.系统运行正常
2.使用物料管理员角色登陆系统",1.点击新增PMS退料申请单,1.正常新增PMS退料申请单,,冯云梦,UAT,
9169,,功能,物资管理-退料申请明细查询,退料申请明细查询,物料管理员查询、导出退料申请明细查询,L3,验证物料管理员查询、导出退料申请明细查询,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询退料申请明细数据
2.点击重置查询条件
3.点击导出","1.正常查询出符合查询条件的退料申请明细数据
2.正常清空查询条件，并查询出所有的退料申请明细数据
3.正常导出符合查询条件的退料申请明细数据",,冯云梦,UAT,
9169,,功能,物资管理-SCM退料申请单,SCM退料申请单,物料管理员查询、导出，同步SCM退料申请单,L3,验证物料管理员查询、导出，同步SCM退料申请单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询SCM退料申请单
2.点击重置查询条件
3.点击导出按钮
4.点击同步SCM退料申请单","1.正常查询出符合查询条件的SCM退料申请单
2.正常清空查询条件，并查询出所有的SCM退料申请单数据
3.正常导出符合查询条件的SCM退料申请单数据
4.正常同步所选的项目下的SCM退料申请单",,冯云梦,UAT,
9169,,功能,物资管理-SCM退库单,SCM退库单,物料管理员查询、导出，同步SCM退库单,L3,验证物料管理员查询、导出，同步SCM退库单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询SCM退库单
2.点击重置查询条件
3.点击导出按钮
4.点击同步SCM退库单","1.正常查询出符合查询条件的SCM退库单
2.正常清空查询条件，并查询出所有的SCM退库单数据
3.正常导出符合查询条件的SCM退库单数据
4.正常同步所选的项目下的SCM退库单",,冯云梦,UAT,
9169,,功能,物资管理-SCM退库单明细查询,SCM退库单明细查询,物料管理员查询、导出，同步SCM退库单明细查询,L3,验证物料管理员查询、导出，同步SCM退库单明细查询,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询SCM退库单明细
2.点击重置查询条件
3.点击导出按钮
4.点击同步SCM退库单明细","1.正常查询出符合查询条件的SCM退库单明细
2.正常清空查询条件，并查询出所有的SCM退库单明细数据
3.正常导出符合查询条件的SCM退库单明细数据
4.正常同步所选的项目下的SCM退库单明细",,冯云梦,UAT,
9169,,功能,物资管理-现场物资转移单,现场物资转移单,物料管理员查询、导出现场物资转移单,L3,验证物料管理员查询、导出现场物资转移单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询现场物资转移单
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的现场物资转移单
2.正常清空查询条件，并查询出所有的现场物资转移单数据
3.正常导出符合查询条件的现场物资转移单数据",,冯云梦,UAT,
9169,,功能,物资管理-现场物资转移单,现场物资转移单-新增,物料管理员新增现场物资转移单,L2,验证物料管理员新增现场物资转移单,"1.系统运行正常
2.使用物料管理员角色登陆系统",1.点击新增现场物资转移单,1.正常新增现场物资转移单,,冯云梦,UAT,
9169,,功能,物资管理-PMS多对多调拨申请单,PMS多对多调拨申请单,物料管理员查询、导出，同步PMS多对多调拨申请单,L3,验证物料管理员查询、导出，同步PMS多对多调拨申请单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询PMS多对多调拨申请单
2.点击重置查询条件
3.点击导出按钮
4.点击同步PMS多对多调拨申请单","1.正常查询出符合查询条件的PMS多对多调拨申请单
2.正常清空查询条件，并查询出所有的PMS多对多调拨申请单数据
3.正常导出符合查询条件的PMS多对多调拨申请单数据
4.正常同步所选的项目下的PMS多对多调拨申请单",,冯云梦,UAT,
9169,,功能,物资管理-PMS多对多调拨申请单,PMS多对多调拨申请单-新增,物料管理员新增PMS多对多调拨申请单,L2,验证物料管理员新增PMS多对多调拨申请单,"1.系统运行正常
2.使用物料管理员角色登陆系统",1.点击新增PMS多对多调拨申请单,1.正常新增PMS多对多调拨申请单,,冯云梦,UAT,
9169,,功能,物资管理-仓库物资台账,仓库物资台账,物料管理员查询、导出仓库物资台账,L3,验证物料管理员查询、导出仓库物资台账,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询仓库物资台账
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的仓库物资台账
2.正常清空查询条件，并查询出所有的仓库物资台账数据
3.正常导出符合查询条件的仓库物资台账数据",,冯云梦,UAT,
9169,,功能,物资管理-物资接收进度查询,物资接收进度查询,物料管理员查询、导出物资接收进度查询,L3,验证物料管理员查询、导出物资接收进度查询,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询物资接收进度
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的物资接收进度
2.正常清空查询条件，并查询出所有的物资接收进度数据
3.正常导出符合查询条件的物资接收进度数据",,冯云梦,UAT,
9169,,功能,物资管理-物料查询,物料查询,物料管理员查询、导出物料查询,L3,验证物料管理员查询、导出物料查询,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询物料
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的物料
2.正常清空查询条件，并查询出所有的物料数据
3.正常导出符合查询条件的物料数据",,冯云梦,UAT,
9169,,功能,物资管理-物资货码查询,物资货码查询,物料管理员查询、导出物资货码查询,L3,验证物料管理员查询、导出物资货码查询,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询物资货码
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的物资货码
2.正常清空查询条件，并查询出所有的物资货码数据
3.正常导出符合查询条件的物资货码数据",,冯云梦,UAT,
9169,,功能,物资管理-任务管理台账,任务管理台账,物料管理员查询、导出任务管理台账,L3,验证物料管理员查询、导出任务管理台账,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询任务管理台账
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的任务管理台账
2.正常清空查询条件，并查询出所有的任务管理台账数据
3.正常导出符合查询条件的任务管理台账数据",,冯云梦,UAT,
9169,,功能,物资管理-项目管理台账,项目管理台账,物料管理员查询、导出项目管理台账,L3,验证物料管理员查询、导出项目管理台账,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询项目管理台账
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的项目管理台账
2.正常清空查询条件，并查询出所有的项目管理台账数据
3.正常导出符合查询条件的项目管理台账数据",,冯云梦,UAT,
9169,,功能,物资管理-设计产品物资台账,设计产品物资台账,物料管理员查询、导出设计产品物资台账,L3,验证物料管理员查询、导出设计产品物资台账,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询设计产品物资台账
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的设计产品物资台账
2.正常清空查询条件，并查询出所有的设计产品物资台账数据
3.正常导出符合查询条件的设计产品物资台账数据",,冯云梦,UAT,
9169,,功能,物资管理-施工现场物资台账,施工现场物资台账,物料管理员查询、导出施工现场物资台账,L3,验证物料管理员查询、导出施工现场物资台账,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询施工现场物资台账
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的施工现场物资台账
2.正常清空查询条件，并查询出所有的施工现场物资台账数据
3.正常导出符合查询条件的施工现场物资台账数据",,冯云梦,UAT,
9169,,功能,物资管理-施工单位仓库&中转仓,施工单位仓库,物料管理员查询、导出施工单位仓库&中转仓,L3,验证物料管理员查询、导出施工单位仓库&中转仓,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询施工单位仓库&中转仓
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的施工单位仓库&中转仓
2.正常清空查询条件，并查询出所有的施工单位仓库&中转仓数据
3.正常导出符合查询条件的施工单位仓库&中转仓数据",,冯云梦,UAT,
9169,,功能,物资管理-施工单位仓库,施工单位仓库-新增,物料管理员新增施工单位仓库,L2,验证物料管理员新增施工单位仓库,"1.系统运行正常
2.使用物料管理员角色登陆系统",1.点击新增施工单位仓库,1.正常新增施工单位仓库,,冯云梦,UAT,
9169,,功能,物资管理-其他入库单,其他入库单,物料管理员查询、导出其他入库单,L3,验证物料管理员查询、导出其他入库单,"1.系统运行正常
2.使用物料管理员角色登陆系统","1.点击查询其他入库单
2.点击重置查询条件
3.点击导出按钮","1.正常查询出符合查询条件的其他入库单
2.正常清空查询条件，并查询出所有的其他入库单数据
3.正常导出符合查询条件的其他入库单数据",,冯云梦,UAT,
