需求编号,需求描述,用例类型,功能模块,导航,功能点,优先级,用例标题,前置条件,操作步骤,预期结果,测试结果,执行人,测试环境,备注,运营平台需求编号
9321,,功能,合同查询,项目采购-合同查询,待办,L0,验证用户下无未处理的“合同同步”待办，会新起一条待办,"1、系统运行正常
2、项目计划经理、需求经理下无未处理的“合同同步”待办
3、计划经理、需求经理为同一个用户",1、该项目合同信息同步成功发送待办,1、用户收到一条新待办，列表数据展示一行,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9321,,功能,合同查询,项目采购-合同查询,待办,L1,验证用户下有未处理的“合同同步”待办，新待办会合并到对应“合同同步”待办中,"1、系统运行正常
2、计划经理、需求经理有“合同同步”待办
2、计划经理、需求经理为同一个用户",1、该项目合同信息同步成功发送待办,1、待办列表中新增一条本次推送的数据,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9321,,功能,合同查询,项目采购-合同查询,待办,L2,验证合同关联多个项目，每个项目下的对应的角色都可以收到待办,"1、系统运行正常
2、合同下关联多个项目",1、该合同信息同步成功发送待办,1、各个项目下对应的角色都可以收到待办,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9321,,功能,合同查询,项目采购-合同查询,待办,L2,验证一个用户是多个项目的项目成员，收到一条待办，多条行数据,"1、系统运行正常
2、合同下关联多个项目
3、一个用户是多个项目的项目成员",1、该合同信息同步成功发送待办,1、该用户收到1条待办，3行列表数据,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9321,,功能,合同查询,项目采购-合同查询,待办,L2,验证项目没有关联合同，项目对应的角色不会收到待办,"1、系统运行正常
2、项目没有关联合同",1、该合同信息同步成功发送待办,1、项目下对应的角色不会收到待办,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9321,,功能,合同查询,项目采购-合同查询,待办,L2,验证只同步合同工程项目信息，不会发送待办,"1、系统运行正常
2、项目有关联的合同",1、只同步合同工程项目信息,1、不会发送待办,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9321,,功能,合同查询,项目采购-合同查询,待办,L2,验证只同步合同信息，不会发送待办,"1、系统运行正常
2、项目有关联的合同",1、只同步合同信息,1、不会发送待办,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9321,,功能,合同查询,项目采购-合同查询,待办,L2,验证合同工程项目信息和合同信息都同步了，会发送待办,"1、系统运行正常
2、项目有关联的合同","1、同步合同工程项目信息成功
2、同步项目信息成功",1、给项目对应的角色发送待办,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9346,"【背景】目前系统支持即时和定时自动出池，即时为由草稿直接出池，定时为每天凌晨出池，白天项目经理可手工出池。设为定时出池时出池相对频繁
【需求描述】定时出池可以设置固定出池日，例如：每月5号，10号
【方案概述】将定时出池的定时任务优化成分省配置，每个省份可以根据业务要求配置执行时点",功能,服务订单草稿,项目采购-服务订单草稿,定时出池,L1,验证满足采购订单时点，单据可自动出池生成订单,"1、系统运行正常
2、订单草稿审批流程：启用
3、存在满足采购订单时点的单据",1、到达定时任务配置执行时点,1、单据自动出池生成订单草稿，状态”自动生成草稿“,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单草稿,项目采购-服务订单草稿,定时出池,L1,验证不满足采购订单时点，单据不能自动出池生成订单,"1、系统运行正常
2、订单草稿审批流程：启用
3、存在不满足采购订单时点的单据",1、到达定时任务配置执行时点,1、单据不会自动出池,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单草稿,项目采购-服务订单草稿,定时出池,L1,验证自动出池，手工提交SCM,"1、系统运行正常
2、订单草稿审批流程：不启用
3、订单草稿提交SCM方式：手工",1、到达定时任务配置执行时点,1、单据自动出池生成订单草稿，状态”自动生成草稿“,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单草稿,项目采购-服务订单草稿,定时出池,L1,验证自动出池，自动提交SCM,"1、系统运行正常
2、订单草稿审批流程：不启用
3、订单草稿提交SCM方式：自动",1、到达定时任务配置执行时点,1、单据自动出池生成订单草稿，状态”SCM草稿“,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单修改申请,项目采购-服务订单修改申请,定时出池,L1,验证自动出池生成修改单,"1、系统运行正常
2、订单修改审批流程：启用
3、存在能出池生成修改单的单据",1、到达定时任务配置执行时点,1、自动出池生成修改单，状态”草稿“,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单修改申请,项目采购-服务订单修改申请,定时出池,L1,验证自动出池，手工提交SCM,"1、系统运行正常
2、订单修改审批流程：不启用
3、订单修改申请提交SCM方式：手工",1、到达定时任务配置执行时点,1、单据自动出池生成修改单，状态”草稿“,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单修改申请,项目采购-服务订单修改申请,定时出池,L1,验证自动出池，自动提交SCM,"1、系统运行正常
2、订单修改审批流程：不启用
3、订单修改申请提交SCM方式：自动",1、到达定时任务配置执行时点,1、单据自动出池生成修改单，状态”SCM草稿“,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单草稿,项目采购-服务订单草稿,定时出池,L2,验证订单不合并，一条条的进行出池,"1、系统运行正常
2、是否启用订单草稿合并规则：启用
3、份额的合同信息是否独立创建订单：Y",1、到达定时任务配置执行时点,1、订单不合并，一条条的出池,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单修改申请,项目采购-服务订单修改申请,定时出池,L2,验证修改单不合并，一条条的进行出池,"1、系统运行正常
2、是否启用订单草稿合并规则：启用
3、份额的合同信息是否独立创建订单：Y",1、到达定时任务配置执行时点,1、修改单不合并，一条条的出池,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单草稿,项目采购-服务订单草稿,定时出池,L2,验证符合合并规则的订单合并出池,"1、系统运行正常
2、是否启用订单草稿合并规则：启用
3、份额的合同信息是否独立创建订单：N",1、到达定时任务配置执行时点,1、符合合并规则的订单合并出池,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单修改申请,项目采购-服务订单修改申请,定时出池,L2,验证符合合并规则的修改单合并出池,"1、系统运行正常
2、是否启用订单草稿合并规则：启用
3、份额的合同信息是否独立创建订单：N",1、到达定时任务配置执行时点,1、符合合并规则的修改单合并出池,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单草稿,项目采购-服务订单草稿,定时出池,L2,验证是否启用订单草稿合并规则：不启用，订单修改单只能单条出池,"1、系统运行正常
2、是否启用订单草稿合并规则：不启用
3、份额的合同信息是否独立创建订单：Y",1、到达定时任务配置执行时点,1、订单/修改单一条条的出池,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单草稿,项目采购-服务订单草稿,定时出池,L2,验证是否启用订单草稿合并规则：不启用，订单修改单只能单条出池,"1、系统运行正常
2、是否启用订单草稿合并规则：不启用
3、份额的合同信息是否独立创建订单：N",1、到达定时任务配置执行时点,1、订单/修改单一条条的出池,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单草稿,项目采购-服务订单草稿,待办提醒,L3,验证订单提交失败，收到待办提醒,"1、系统运行正常
2、订单提交报错是否待办提醒：启用",1、定时出池生成订单失败,1、发起人收到待办提醒,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单修改申请,项目采购-服务订单修改申请,待办提醒,L3,验证修改单提交失败，收到待办提醒,"1、系统运行正常
2、订单提交报错是否待办提醒：启用",1、定时出池生成修改单失败,1、发起人收到待办提醒,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单草稿,项目采购-服务订单草稿,待办提醒,L3,验证订单提交失败，不会收到待办提醒,"1、系统运行正常
2、订单提交报错是否待办提醒：不启用",1、定时出池生成订单失败,1、发起人不会收到待办提醒,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9346,,功能,服务订单修改申请,项目采购-服务订单修改申请,待办提醒,L3,验证修改单提交失败，不会收到待办提醒,"1、系统运行正常
2、订单提交报错是否待办提醒：不启用",1、定时出池生成修改单失败,1、发起人不会收到待办提醒,通过,王贝妮,UAT,,XQ-W-CPMS-SD-20230515-0042
9492,"【需求背景】：PMS系统批量推送多笔服务订单草稿数据至SCM，集中化SCM系统只解析识别第一条单据数据并只产生第一条数据的采购订单待办。
【需求描述】：批量提交订单/修改单至SCM时，改为异步导入，分多次调用接口，每次只推送一笔订单/修改单数据。
【方案描述】：
➢当配置项“订单草稿审批流程”、“订单修改审批流程”配置为不启用，可批量提交订单/修改单至SCM。批量提交订单/修改单至SCM改为异步导入，分多次调用接口，每次只推送一笔订单/修改单数据。
（系统现状：批量提交只调用一次接口，传多笔订单数据，提交后实时返回提交结果）
注：单条提交订单/修改单至SCM时，保持现状同步导入，实时返回提交结果
➢从服务订单草稿/服务订单修改申请列表页勾选多条单据点击【提交SCM】按钮后，新增提示信息“正在提交单据，提交结果请稍后查看同步日志”
➢服务订单修改申请列表新增“同步SCM状态”、“同步日志”列
○修改单“同步SCM状态”包括未同步、同步成功、同步失败，修改单创建后默认为未同步，提交SCM系统后根据接口返回状态更新同步SCM状态。
○提交SCM时需要记录同步日志。点击“同步日志”列【查看】按钮，弹框展示日志详情页面。
○历史数据处理：按照单据状态判断同步状态，若单据状态为1: SCM草稿2: SCM审批中3: SCM审批完成4: SCM驳回5: SCM退回6: SCM退回后作废，则同步状态为同步成功；",功能,服务订单草稿,项目采购-服务订单草稿,字段,L3,验证筛选项及列表，“同步SCM状态”新增枚举值“同步中”,1、系统运行正常,"1、进入服务订单草稿页面
2、查看筛选项和列表“同步SCM状态”字段","1、页面显示正常
2、“同步SCM状态”新增枚举值“同步中”",通过,王贝妮,UAT,,
9492,,功能,服务订单草稿,项目采购-服务订单草稿,提交SCM,L0,验证单条单据提交SCM实时调用,"1、系统运行正常
2、用户进入服务订单草稿页，有提交SCM的权限",1、勾选单条单据点击【提交SCM】按钮,1、实时返回同步SCM的状态，点击同步日志查看按钮，弹框展示日志详情页面,通过,王贝妮,UAT,,
9492,,功能,服务订单草稿,项目采购-服务订单草稿,提交SCM,L0,验证单条单据提交SCM实时调用,"1、系统运行正常
2、用户进入服务订单草稿页，有提交SCM的权限",1、点击列表页【编辑】按钮，从编辑页点击【提交SCM】按钮,1、实时返回同步SCM的状态，点击同步日志查看按钮，弹框展示日志详情页面,通过,王贝妮,UAT,,
9492,,功能,服务订单草稿,项目采购-服务订单草稿,提交SCM,L0,验证单条单据提交SCM实时调用,"1、系统运行正常
2、存在服务订单审批待办",1、最后一个审批人待办【提交】至SCM，服务订单草稿页查看同步状态,1、实时返回同步SCM的状态，点击同步日志查看按钮，弹框展示日志详情页面,通过,王贝妮,UAT,,
9492,,功能,服务订单草稿,项目采购-服务订单草稿,提交SCM,L0,验证多条数据批量提交SCM，增加提示信息,"1、系统运行正常
2、用户进入服务订单草稿页，有提交SCM的权限
3、配置项“订单草稿审批流程”为不启用",1、勾选多条数据批量提交SCM,1、新增提示信息“正在提交单据，提交结果请稍后查看同步日志”,通过,王贝妮,UAT,,
9492,,功能,服务订单草稿,项目采购-服务订单草稿,提交SCM,L0,验证多条数据批量提交SCM，同步成功,"1、系统运行正常
2、用户进入服务订单草稿页，有提交SCM的权限
3、配置项“订单草稿审批流程”为不启用",1、勾选多条数据批量提交SCM，提交成功,1、列表同步scm状态”同步成功”，点击同步日志查看按钮，显示日志详情,通过,王贝妮,UAT,,
9492,,功能,服务订单草稿,项目采购-服务订单草稿,提交SCM,L0,验证多条数据批量提交SCM，同步失败进入补偿机制,"1、系统运行正常
2、用户进入服务订单草稿页，有提交SCM的权限
3、配置项“订单草稿审批流程”为不启用",1、勾选多条数据批量提交SCM，提交失败,1、进入补偿机制，“同步SCM状态”展示为“同步中”，勾选框置灰，不允许用户勾选再次提交SCM。,通过,王贝妮,UAT,,
9492,,功能,服务订单草稿,项目采购-服务订单草稿,提交SCM,L0,验证补偿三次后还是失败，返回同步失败状态,"1、系统运行正常
2、用户进入服务订单草稿页，有提交SCM的权限
3、配置项“订单草稿审批流程”为不启用","1、勾选多条数据批量提交SCM，提交失败
2、补偿三次后还是失败",1、同步scm状态”同步失败”，点击同步日志查看按钮，显示日志详情，可手工在页面再次操作导入,通过,王贝妮,UAT,,
9492,,功能,服务订单草稿,项目采购-服务订单草稿,提交SCM,L0,验证补偿机制同步成功，返回同步成功状态,"1、系统运行正常
2、用户进入服务订单草稿页，有提交SCM的权限
3、配置项“订单草稿审批流程”为不启用","1、勾选多条数据批量提交SCM，提交失败
2、补偿机制同步成功",1、同步scm状态”同步成功”，点击同步日志查看按钮，显示日志详情,通过,王贝妮,UAT,,
9492,,功能,服务订单修改申请,项目采购-服务订单修改申请,字段,L1,验证服务订单修改申请列表新增“同步SCM状态”、“同步日志”列,"1、系统运行正常
2、用户进入服务订单修改申请页有权限",1、查看列表字段,1、列表新增“同步SCM状态”、“同步日志”列,通过,王贝妮,UAT,,
9492,,功能,服务订单修改申请,项目采购-服务订单修改申请,导出,L1,验证导出文件中增加字段同步SCM状态”、“同步日志”列,"1、系统运行正常
2、用户有导出权限",1、点击导出，查看导出文件内容,1、导出文件中增加字段“同步SCM状态”列,通过,王贝妮,UAT,,
9492,,功能,服务订单修改申请,项目采购-服务订单修改申请,提交SCM,L0,验证单条单据提交SCM实时调用,"1、系统运行正常
2、用户进入服务订单修改申请页，有提交SCM的权限",1、勾选单条单据点击【提交SCM】按钮,1、实时返回同步SCM的状态，点击同步日志查看按钮，弹框展示日志详情页面,通过,王贝妮,UAT,,
9492,,功能,服务订单修改申请,项目采购-服务订单修改申请,提交SCM,L0,验证单条单据提交SCM实时调用,"1、系统运行正常
2、用户进入服务订单修改申请页，有提交SCM的权限",1、点击列表页【编辑】按钮，从编辑页点击【提交SCM】按钮,1、实时返回同步SCM的状态，点击同步日志查看按钮，弹框展示日志详情页面,通过,王贝妮,UAT,,
9492,,功能,服务订单修改申请,项目采购-服务订单修改申请,提交SCM,L0,验证单条单据提交SCM实时调用,"1、系统运行正常
2、存在修改单审批待办",1、最后一个审批人待办【提交】至SCM，服务订单草稿页查看同步状态,1、实时返回同步SCM的状态，点击同步日志查看按钮，弹框展示日志详情页面,通过,王贝妮,UAT,,
9492,,功能,服务订单修改申请,项目采购-服务订单修改申请,提交SCM,L0,验证多条数据批量提交SCM，增加提示信息,"1、系统运行正常
2、用户进入服务订单修改申请页，有提交SCM的权限
3、“订单修改审批流程”配置为不启用",1、勾选多条数据批量提交SCM,1、新增提示信息“正在提交单据，提交结果请稍后查看同步日志”,通过,王贝妮,UAT,,
9492,,功能,服务订单修改申请,项目采购-服务订单修改申请,提交SCM,L0,验证多条数据批量提交SCM，同步成功,"1、系统运行正常
2、用户进入服务订单修改申请页，有提交SCM的权限
3、“订单修改审批流程”配置为不启用",1、勾选多条数据批量提交SCM，提交成功,1、列表同步scm状态”同步成功”，点击同步日志查看按钮，显示日志详情,通过,王贝妮,UAT,,
9492,,功能,服务订单修改申请,项目采购-服务订单修改申请,提交SCM,L0,验证多条数据批量提交SCM，同步失败进入补偿机制,"1、系统运行正常
2、用户进入服务订单修改申请页，有提交SCM的权限
3、“订单修改审批流程”配置为不启用",1、勾选多条数据批量提交SCM，提交失败,1、进入补偿机制，“同步SCM状态”展示为“同步中”，勾选框置灰，不允许用户勾选再次提交SCM。,通过,王贝妮,UAT,,
9492,,功能,服务订单修改申请,项目采购-服务订单修改申请,提交SCM,L0,验证补偿三次后还是失败，返回同步失败状态,"1、系统运行正常
2、用户进入服务订单修改申请页，有提交SCM的权限
3、“订单修改审批流程”配置为不启用","1、勾选多条数据批量提交SCM，提交失败
2、补偿三次后还是失败",1、同步scm状态”同步失败”，点击同步日志查看按钮，显示日志详情，可手工在页面再次操作导入,通过,王贝妮,UAT,,
9492,,功能,服务订单修改申请,项目采购-服务订单修改申请,提交SCM,L0,验证补偿机制同步成功，返回同步成功状态,"1、系统运行正常
2、用户进入服务订单修改申请页，有提交SCM的权限
3、“订单修改审批流程”配置为不启用","1、勾选多条数据批量提交SCM，提交失败
2、补偿机制同步成功",1、同步scm状态”同步成功”，点击同步日志查看按钮，显示日志详情,通过,王贝妮,UAT,,
9492,,存量数据,服务订单修改申请,项目采购-服务订单修改申请,历史数据,L2,验证单据状态为SCM草稿、SCM审批中、 SCM审批完成、 SCM驳回、SCM退回、 SCM退回后作废，则同步状态为同步成功,"1、系统运行正常
2、存在历史数据",1、查看历史单据状态为SCM草稿、SCM审批中、 SCM审批完成、 SCM驳回、SCM退回、 SCM退回后作废的数据,1、同步状态为同步成功,通过,王贝妮,UAT,,
9492,,存量数据,服务订单修改申请,项目采购-服务订单修改申请,历史数据,L2,验证单据状态为：草稿、PMS审批中、PMS审批完成、PMS驳回后作废，则同步状态为未同步,"1、系统运行正常
2、存在历史数据",1、查看历史单据状态为：草稿、PMS审批中、PMS审批完成、PMS驳回后作废的数据,1、同步状态为未同步,通过,王贝妮,UAT,,
9076,"【需求背景】目前订单自动接收在订单金额调增后，没有对前序已接收的金额进行补接收
【需求描述】订单修改单审批完成后，如果订单调增，根据工程形象进度，需要及时对对已接收环节进行补接收
【方案概述】
1.对于启用合同付款节点接收的省份，当订单的修改单审批完成后，如果订单调增，需要发送自动接收的待办对前序已接收环节进行补接收。
2.补接收数量计算规则：
2.1当存在已发送的代办存在未处理的单据：
本次接收数量=修改后订单金额*当前环节比例-已接收-在途数量-“草稿”状态接收行上的本次接收数量之和
2.2当已发送的代办都处理了：
本次接收数量=修改后订单金额*当前环节比例-已接收-在途数量",功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L1,验证不启用合同付款节点，不触发自动补接收,"1、系统运行正常
2、不启用合同付款节点配置
3、订单已存在自动接收待办",1、对订单进行修改，修改单金额大于订单金额,修改单金额调增后，不触发自动补接收,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
9076,,功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L1,验证不启用合同付款节点，不触发自动补接收,"1、系统运行正常
2、不启用合同付款节点配置
3、订单已存在自动接收待办",1、对订单进行修改，修改单金额小于订单金额,修改单金额调减后，不触发自动补接收,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
9076,,功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L3,验证修改单金额调减不触发自动补接收,"1、系统运行正常
2、启用合同付款节点配置
3、订单已存在自动接收待办",1、对订单进行修改，修改单金额小于订单金额,修改单金额调减后，不触发自动补接收,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
9076,,功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L3,验证本次接收数量<=0，不发送补接收待办,"1、系统运行正常
2、启用合同付款节点配置
3、订单已存在自动接收待办","1、对订单进行修改
2、本次接收数量=修改后订单金额*当前环节累计付款比例-已接收-在途数量",本次接收数量<=0，不发送补接收待办,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
9076,,功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L3,验证触发自动补接收待办,"1、系统运行正常
2、启用合同付款节点配置
3、订单只存在一个自动接收待办处于草稿状态",1、对订单进行修改，修改单金额大于订单金额,新的补接收行合并入之前的待办中，本次接收数量=修改后订单金额*当前环节累计付款比例-已接收-在途数量,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
9076,,功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L3,验证触发自动补接收待办,"1、系统运行正常
2、启用合同付款节点配置
3、订单只存在一个自动接收待办处于审批中状态",1、对订单进行修改，修改单金额大于订单金额,生成新的补接收待办，本次接收数量=修改后订单金额*当前环节累计付款比例-已接收-在途数量,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
9076,,功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L3,验证触发自动补接收待办,"1、系统运行正常
2、启用合同付款节点配置
3、订单存在自动接收待办：环节1草稿、环节2草稿",1、对订单进行修改，修改单金额大于订单金额,新的补接收行合并入之前环节2的待办中，本次接收数量=修改后订单金额*当前环节累计付款比例-已接收-在途数量-环节1草稿,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
9076,,功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L3,验证触发自动补接收待办,"1、系统运行正常
2、启用合同付款节点配置
3、订单存在自动接收待办：环节1审批中、环节2草稿",1、对订单进行修改，修改单金额大于订单金额,新的补接收行合并入之前环节2的待办中，本次接收数量=修改后订单金额*当前环节累计付款比例-已接收-在途数量,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
9076,,功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L3,验证触发自动补接收待办,"1、系统运行正常
2、启用合同付款节点配置
3、订单存在自动接收待办：环节1草稿、环节2审批中",1、对订单进行修改，修改单金额大于订单金额,生成新的补接收待办，本次接收数量=修改后订单金额*当前环节累计付款比例-已接收-在途数量-环节1草稿,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
9076,,功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L3,验证触发自动补接收待办,"1、系统运行正常
2、启用合同付款节点配置
3、订单存在自动接收待办：环节1审批中、环节2审批中",1、对订单进行修改，修改单金额大于订单金额,生成新的补接收待办，本次接收数量=修改后订单金额*当前环节累计付款比例-已接收-在途数量,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
9076,,功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L3,验证触发自动补接收待办,"1、系统运行正常
2、启用合同付款节点配置
3、订单未触发过自动接收待办",1、对订单进行修改，修改单金额大于订单金额,不进行自动补接收，可按修改后数量触发自动接收待办,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
9076,,功能,服务订单接收,项目采购-服务订单接收,订单自动接收,L3,验证触发自动补接收待办,"1、系统运行正常
2、启用合同付款节点配置
3、订单存在自动接收待办：环节1草稿、环节2审批中","1、对订单进行修改，修改单金额大于订单金额
2、补接收待办已生成但没有在前台界面显示，提交",前台的接收行数和后台的接收行数不一致，弹窗提示用户：订单接收明细信息存在最新数据未展示，请问是否需要展示最新数据。,通过,王贝妮,UAT,,XQ-W-CPMS-JS-20230112-0018
8925,"需求背景：统一日志新规范升级
需求描述：根据统一日志新规范升级统一日志推送接口
方案描述：1.升级jar包,都采用接口方式
2.增加操作类型,接口描述
3.接口字段扩充
4.规范异常编码，详见M域业务系统接入基础能力（统一日志）规范v1.7.docx
范围：基础服务登录登出，所有操作日志，所有接口日志",流程,服务订单草稿,项目采购-服务订单草稿,正向流程,L1,验证订单正向流程正常,"1、系统运行正常
2、启用订单审批流程","1、发起订单审批
2、依次提交审批到单据结束",1、流程正常,通过,王贝妮,UAT,,
8925,,流程,服务订单草稿,项目采购-服务订单草稿,逆向流程,L1,验证订单逆向流程正常,"1、系统运行正常
2、启用订单审批流程","1、发起订单审批
2、审批人驳回后给发起人，重新提交审批到单据结束",1、流程正常,通过,王贝妮,UAT,,
8925,,流程,份额变更查询,项目采购-份额变更查询,正向流程,L1,验证单据正向流程正常,"1、系统运行正常
2、用户有新增份额权限","1、新增份额发起审批
2、依次提交审批到单据结束",1、流程正常,通过,王贝妮,UAT,,
